rep,ID,uid,TIME,y1,IFN_dose,ARMTYPE,IFN
91,1,1_rep91,0,.,100,ifn alpha,100
91,1,1_rep91,24,.,100,ifn alpha,100
92,1,1_rep92,0,100.157,100,ifn alpha,.
92,1,1_rep92,24,74.4807,100,ifn alpha,.
92,1,1_rep92,0,.,100,ifn alpha,100
92,1,1_rep92,24,.,100,ifn alpha,100
93,1,1_rep93,0,100.081,100,ifn alpha,.
93,1,1_rep93,24,75.5779,100,ifn alpha,.
93,1,1_rep93,0,.,100,ifn alpha,100
93,1,1_rep93,24,.,100,ifn alpha,100
94,1,1_rep94,0,100.001,100,ifn alpha,.
94,1,1_rep94,24,82.5516,100,ifn alpha,.
94,1,1_rep94,0,.,100,ifn alpha,100
94,1,1_rep94,24,.,100,ifn alpha,100
95,1,1_rep95,0,100.056,100,ifn alpha,.
95,1,1_rep95,24,75.0079,100,ifn alpha,.
95,1,1_rep95,0,.,100,ifn alpha,100
95,1,1_rep95,24,.,100,ifn alpha,100
96,1,1_rep96,0,100.183,100,ifn alpha,.
96,1,1_rep96,24,75.4979,100,ifn alpha,.
96,1,1_rep96,0,.,100,ifn alpha,100
96,1,1_rep96,24,.,100,ifn alpha,100
97,1,1_rep97,0,99.8491,100,ifn alpha,.
97,1,1_rep97,24,70.5474,100,ifn alpha,.
97,1,1_rep97,0,.,100,ifn alpha,100
97,1,1_rep97,24,.,100,ifn alpha,100
98,1,1_rep98,0,99.8026,100,ifn alpha,.
98,1,1_rep98,24,68.0161,100,ifn alpha,.
98,1,1_rep98,0,.,100,ifn alpha,100
98,1,1_rep98,24,.,100,ifn alpha,100
99,1,1_rep99,0,99.5736,100,ifn alpha,.
99,1,1_rep99,24,54.5775,100,ifn alpha,.
99,1,1_rep99,0,.,100,ifn alpha,100
99,1,1_rep99,24,.,100,ifn alpha,100
100,1,1_rep100,0,100.015,100,ifn alpha,.
100,1,1_rep100,24,64.7769,100,ifn alpha,.
100,1,1_rep100,0,.,100,ifn alpha,100
100,1,1_rep100,24,.,100,ifn alpha,100
101,1,1_rep101,0,99.9951,100,ifn alpha,.
101,1,1_rep101,24,70.5529,100,ifn alpha,.
101,1,1_rep101,0,.,100,ifn alpha,100
101,1,1_rep101,24,.,100,ifn alpha,100
102,1,1_rep102,0,99.5869,100,ifn alpha,.
102,1,1_rep102,24,65.873,100,ifn alpha,.
102,1,1_rep102,0,.,100,ifn alpha,100
102,1,1_rep102,24,.,100,ifn alpha,100
103,1,1_rep103,0,100.048,100,ifn alpha,.
103,1,1_rep103,24,60.7676,100,ifn alpha,.
103,1,1_rep103,0,.,100,ifn alpha,100
103,1,1_rep103,24,.,100,ifn alpha,100
104,1,1_rep104,0,100.193,100,ifn alpha,.
104,1,1_rep104,24,76.4444,100,ifn alpha,.
104,1,1_rep104,0,.,100,ifn alpha,100
104,1,1_rep104,24,.,100,ifn alpha,100
105,1,1_rep105,0,99.9239,100,ifn alpha,.
105,1,1_rep105,24,65.6033,100,ifn alpha,.
105,1,1_rep105,0,.,100,ifn alpha,100
105,1,1_rep105,24,.,100,ifn alpha,100
106,1,1_rep106,0,100.023,100,ifn alpha,.
106,1,1_rep106,24,71.9141,100,ifn alpha,.
106,1,1_rep106,0,.,100,ifn alpha,100
106,1,1_rep106,24,.,100,ifn alpha,100
107,1,1_rep107,0,99.9389,100,ifn alpha,.
107,1,1_rep107,24,81.2786,100,ifn alpha,.
107,1,1_rep107,0,.,100,ifn alpha,100
107,1,1_rep107,24,.,100,ifn alpha,100
108,1,1_rep108,0,99.8382,100,ifn alpha,.
108,1,1_rep108,24,71.9711,100,ifn alpha,.
108,1,1_rep108,0,.,100,ifn alpha,100
108,1,1_rep108,24,.,100,ifn alpha,100
109,1,1_rep109,0,99.961,100,ifn alpha,.
109,1,1_rep109,24,68.2834,100,ifn alpha,.
109,1,1_rep109,0,.,100,ifn alpha,100
109,1,1_rep109,24,.,100,ifn alpha,100
110,1,1_rep110,0,99.5652,100,ifn alpha,.
110,1,1_rep110,24,68.788,100,ifn alpha,.
110,1,1_rep110,0,.,100,ifn alpha,100
110,1,1_rep110,24,.,100,ifn alpha,100
111,1,1_rep111,0,99.9825,100,ifn alpha,.
111,1,1_rep111,24,64.9801,100,ifn alpha,.
111,1,1_rep111,0,.,100,ifn alpha,100
111,1,1_rep111,24,.,100,ifn alpha,100
112,1,1_rep112,0,100.213,100,ifn alpha,.
112,1,1_rep112,24,66.6068,100,ifn alpha,.
112,1,1_rep112,0,.,100,ifn alpha,100
112,1,1_rep112,24,.,100,ifn alpha,100
113,1,1_rep113,0,100.074,100,ifn alpha,.
113,1,1_rep113,24,65.151,100,ifn alpha,.
113,1,1_rep113,0,.,100,ifn alpha,100
113,1,1_rep113,24,.,100,ifn alpha,100
114,1,1_rep114,0,100.142,100,ifn alpha,.
114,1,1_rep114,24,65.7069,100,ifn alpha,.
114,1,1_rep114,0,.,100,ifn alpha,100
114,1,1_rep114,24,.,100,ifn alpha,100
115,1,1_rep115,0,100.195,100,ifn alpha,.
115,1,1_rep115,24,67.4142,100,ifn alpha,.
115,1,1_rep115,0,.,100,ifn alpha,100
115,1,1_rep115,24,.,100,ifn alpha,100
116,1,1_rep116,0,99.9662,100,ifn alpha,.
116,1,1_rep116,24,71.8581,100,ifn alpha,.
116,1,1_rep116,0,.,100,ifn alpha,100
116,1,1_rep116,24,.,100,ifn alpha,100
117,1,1_rep117,0,100.191,100,ifn alpha,.
117,1,1_rep117,24,62.8895,100,ifn alpha,.
117,1,1_rep117,0,.,100,ifn alpha,100
117,1,1_rep117,24,.,100,ifn alpha,100
118,1,1_rep118,0,99.9249,100,ifn alpha,.
118,1,1_rep118,24,72.0234,100,ifn alpha,.
118,1,1_rep118,0,.,100,ifn alpha,100
118,1,1_rep118,24,.,100,ifn alpha,100
119,1,1_rep119,0,99.8389,100,ifn alpha,.
119,1,1_rep119,24,69.7674,100,ifn alpha,.
119,1,1_rep119,0,.,100,ifn alpha,100
119,1,1_rep119,24,.,100,ifn alpha,100
120,1,1_rep120,0,100.162,100,ifn alpha,.
120,1,1_rep120,24,68.1761,100,ifn alpha,.
120,1,1_rep120,0,.,100,ifn alpha,100
120,1,1_rep120,24,.,100,ifn alpha,100
121,1,1_rep121,0,100.004,100,ifn alpha,.
121,1,1_rep121,24,56.0969,100,ifn alpha,.
121,1,1_rep121,0,.,100,ifn alpha,100
121,1,1_rep121,24,.,100,ifn alpha,100
122,1,1_rep122,0,99.864,100,ifn alpha,.
122,1,1_rep122,24,62.5837,100,ifn alpha,.
122,1,1_rep122,0,.,100,ifn alpha,100
122,1,1_rep122,24,.,100,ifn alpha,100
123,1,1_rep123,0,99.3409,100,ifn alpha,.
123,1,1_rep123,24,75.9766,100,ifn alpha,.
123,1,1_rep123,0,.,100,ifn alpha,100
123,1,1_rep123,24,.,100,ifn alpha,100
124,1,1_rep124,0,100.077,100,ifn alpha,.
124,1,1_rep124,24,62.8979,100,ifn alpha,.
124,1,1_rep124,0,.,100,ifn alpha,100
124,1,1_rep124,24,.,100,ifn alpha,100
125,1,1_rep125,0,100.197,100,ifn alpha,.
125,1,1_rep125,24,73.2052,100,ifn alpha,.
125,1,1_rep125,0,.,100,ifn alpha,100
125,1,1_rep125,24,.,100,ifn alpha,100
126,1,1_rep126,0,100.064,100,ifn alpha,.
126,1,1_rep126,24,74.92,100,ifn alpha,.
126,1,1_rep126,0,.,100,ifn alpha,100
126,1,1_rep126,24,.,100,ifn alpha,100
127,1,1_rep127,0,100.252,100,ifn alpha,.
127,1,1_rep127,24,71.5153,100,ifn alpha,.
127,1,1_rep127,0,.,100,ifn alpha,100
127,1,1_rep127,24,.,100,ifn alpha,100
128,1,1_rep128,0,99.8501,100,ifn alpha,.
128,1,1_rep128,24,76.8074,100,ifn alpha,.
128,1,1_rep128,0,.,100,ifn alpha,100
128,1,1_rep128,24,.,100,ifn alpha,100
129,1,1_rep129,0,99.8565,100,ifn alpha,.
129,1,1_rep129,24,70.3159,100,ifn alpha,.
129,1,1_rep129,0,.,100,ifn alpha,100
129,1,1_rep129,24,.,100,ifn alpha,100
130,1,1_rep130,0,99.7269,100,ifn alpha,.
130,1,1_rep130,24,74.0728,100,ifn alpha,.
130,1,1_rep130,0,.,100,ifn alpha,100
130,1,1_rep130,24,.,100,ifn alpha,100
131,1,1_rep131,0,100.073,100,ifn alpha,.
131,1,1_rep131,24,75.3543,100,ifn alpha,.
131,1,1_rep131,0,.,100,ifn alpha,100
131,1,1_rep131,24,.,100,ifn alpha,100
132,1,1_rep132,0,100.165,100,ifn alpha,.
132,1,1_rep132,24,71.7614,100,ifn alpha,.
